# scale_x scale_y scale_z
0.010520 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010520
0.010003 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010521 0.010521 0.010521
0.010520 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010514 0.010513 0.010515
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010513 0.010515 0.010510
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010515 0.010517 0.010517
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010003 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010513 0.010515 0.010517
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010519 0.010519 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010521 0.010521
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010512 0.010508 0.010509
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010510 0.010511 0.010515
0.010000 0.010000 0.010000
0.010521 0.010520 0.010521
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010521 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010521 0.010520 0.010521
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010479 0.010495 0.010429
0.010520 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010518
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010519 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010516 0.010519 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010519
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010506 0.010501 0.010504
0.010000 0.010000 0.010000
0.010520 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010520 0.010520 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010515 0.010509 0.010513
0.010000 0.010000 0.010000
0.010512 0.010509 0.010503
0.010000 0.010000 0.010000
0.010520 0.010519 0.010520
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
0.010000 0.010000 0.010000
